Area_sqft,Bedrooms,Bathrooms,Property_Age,Parking_Spaces,Location_Score,Price_INR
1360,1,3,5,1,3,2393431
4272,1,2,12,2,5,3035415
3592,3,2,23,1,3,3250251
966,5,2,28,0,2,2673451
4926,4,4,14,2,10,7668280
3944,1,1,24,0,9,4035651
3671,4,2,8,0,2,3260492
3419,1,2,3,1,2,2121996
630,1,2,13,2,8,4026055
2185,1,3,4,0,9,4831054
1269,5,3,1,0,7,6216880
2891,2,4,10,2,3,4085462
2933,4,1,8,0,9,5523878
1684,5,4,23,0,3,3671135
3885,5,1,2,2,5,6051525
4617,5,3,26,2,9,6454175
3404,5,3,27,2,3,4292897
974,5,3,28,2,7,5217067
1582,3,4,8,1,1,3012195
3058,4,2,2,2,4,5238837
2547,5,2,24,1,4,3713779
3247,4,3,1,1,7,5819897
1475,3,2,11,1,8,5104958
2306,3,2,9,0,1,2650863
689,4,4,8,1,5,4589210
3234,1,1,14,1,7,3261340
3505,2,3,7,0,4,3660682
2399,1,3,24,0,4,2505666
1767,1,4,4,0,4,3022585
2028,1,4,10,2,6,4400618
3702,5,2,26,0,7,5072663
4056,3,3,1,0,2,4060853
4390,1,1,23,1,5,2248416
1146,3,4,27,0,4,3499099
3388,4,1,14,2,3,3584896
2935,2,1,5,0,7,4477358
1100,4,3,7,2,6,5595375
2863,4,3,26,0,7,4963951
2561,5,4,4,0,5,6127132
741,2,3,15,0,6,4055303
2541,4,3,25,0,5,3734135
3324,4,3,17,2,7,5168954
3112,2,1,5,2,2,2869524
1863,2,4,4,1,5,4515691
1978,4,2,27,2,6,3827261
3056,2,1,15,0,6,3090069
1275,4,3,12,1,5,5126165
4514,4,1,27,1,10,6102773
534,5,3,4,1,7,6556418
3652,1,3,12,0,10,5134047
2455,4,1,16,2,8,5806608
2085,3,4,17,0,7,4987475
4443,1,3,7,1,5,4264034
3573,1,4,12,0,1,1771589
1521,1,2,29,0,5,1705118
3961,5,3,28,2,10,6742951
3113,4,4,18,2,2,3952248
4343,5,4,25,1,5,4827382
2000,4,2,2,0,5,4271852
661,5,4,23,0,2,3889694
4797,5,4,7,2,5,6338652
2481,3,2,1,0,4,4286908
1495,5,3,7,0,1,3506901
3842,2,4,26,0,3,2704380
4298,3,4,12,2,1,2972241
1775,5,4,12,1,5,5800715
1516,1,1,0,1,4,2315611
837,2,2,5,0,7,4144781
1378,2,1,23,1,5,2213497
1576,2,2,18,2,10,5339578
4493,3,3,15,2,4,4221886
879,5,3,7,1,2,4462007
992,5,4,27,1,4,4440554
2562,1,2,0,0,2,2108660
4384,1,3,26,1,8,4322264
564,2,2,26,0,3,1123106
3068,1,3,15,0,9,4358128
2527,3,1,8,2,4,3492203
3195,5,3,12,2,6,5978784
1995,2,1,10,2,10,5817883
891,1,3,12,2,5,3328041
4974,3,4,24,1,10,5952169
4061,3,1,20,2,1,1848821
2778,1,3,9,1,9,5102525
3599,5,4,3,2,1,4501660
700,1,1,26,1,8,2779138
3604,2,4,5,0,9,6152876
2954,1,2,27,1,9,4137115
4145,3,2,6,1,1,2495156
1304,1,1,4,2,2,1899112
3231,5,3,10,1,1,4314811
3273,4,1,12,0,10,5688425
2070,1,4,25,0,2,1654405
3190,5,3,24,2,10,6644802
4340,5,2,18,0,8,5682491
1528,3,3,22,1,5,3789483
1002,5,2,9,0,7,5192472
4993,5,3,9,2,2,5196754
1370,5,3,10,1,8,6707249
4988,5,3,20,2,6,5743918
706,2,4,29,1,8,3977771
1984,2,4,6,0,1,2195627
1363,3,1,17,2,1,1825664
3290,1,1,3,2,7,4312820
1063,5,2,1,1,8,6814543
4691,1,4,13,2,3,3021369
2257,1,2,12,1,5,3172237
2178,3,1,28,1,1,1294994
3742,5,2,11,1,7,6286059
1559,5,1,6,1,5,4399843
2222,4,4,1,0,8,6306877
3814,1,3,12,1,8,4920521
3657,1,4,13,2,9,5844887
3125,2,2,26,0,7,3404332
3229,4,2,16,2,1,3132755
2097,2,4,8,0,3,2968463
3560,2,4,16,1,8,4818553
3193,2,1,7,0,3,2254533
4127,3,2,1,0,8,5603032
1863,3,2,27,2,1,1823404
2481,2,4,23,2,5,4093194
2163,4,3,12,1,4,4401947
2029,1,2,2,0,5,3114713
2538,4,3,15,0,8,5330728
3802,5,4,5,0,10,8133586
2737,3,4,18,1,4,4097030
1806,1,1,29,1,4,1288945
4529,1,2,6,1,3,2445521
3175,5,3,9,1,7,5864866
1782,5,1,8,1,3,3619240
1209,2,2,1,2,3,3665758
4913,3,1,27,0,10,4878679
4248,3,4,27,0,5,3794831
1163,4,2,14,0,5,3883261
2498,2,1,29,0,6,2187248
3945,2,1,4,0,8,4870204
4243,2,3,28,0,10,4696147
1995,2,1,21,0,6,2800674
3804,3,2,3,0,1,3300621
4263,3,2,19,2,8,5195494
2353,2,3,3,0,8,5027106
1791,4,2,17,2,9,5932794
4081,1,4,3,1,9,5811048
3957,1,2,26,0,2,763979
2136,4,2,16,1,2,2714908
4196,2,1,11,1,3,2807103
3499,3,1,21,1,1,1882137
3652,1,2,16,2,4,2894689
1198,5,3,9,1,4,5348610
2660,5,1,21,1,9,5574935
4597,4,3,0,1,9,7417487
1354,2,2,21,0,9,4074779
3974,1,2,25,0,10,3950830
2207,2,4,23,2,7,4344478
3277,1,1,26,2,2,1193757
2233,4,2,17,0,10,5622608
4010,4,4,17,2,5,4769747
702,5,1,13,0,4,3887323
3755,2,2,14,1,8,4436968
4718,5,2,28,1,2,3311895
4996,2,1,11,2,6,4341478
1266,5,1,3,0,5,5261238
4889,3,1,26,0,2,2132791
2827,3,2,2,2,10,6495430
3431,3,2,19,0,1,1668122
697,3,4,28,1,8,4536059
2430,1,3,11,2,2,2595705
4082,3,1,6,2,7,5564232
1108,4,2,28,0,9,5282670
3772,4,2,10,2,9,6632005
1647,1,1,0,0,8,3810422
4782,3,3,5,0,10,6851060
3897,3,1,14,0,9,5657050
3011,3,3,14,0,2,3288352
2294,5,2,18,0,6,4818596
1159,2,3,10,2,4,3411093
3311,5,4,25,1,4,5073003
1869,2,2,22,1,5,2735205
2486,3,4,25,2,3,3034659
646,3,1,1,2,1,2603115
3719,5,1,13,1,8,5913448
3411,5,1,1,1,5,5699550
2234,2,3,28,1,3,1766776
2343,4,2,3,1,10,6934810
988,2,1,16,1,7,3169499
3476,5,1,2,0,7,6233068
2459,5,2,12,2,1,3806966
2885,1,1,8,0,9,3987721
3419,5,4,6,1,2,4884858
2302,1,2,14,1,5,3289360
4561,4,2,22,1,5,4620413
3869,2,2,28,0,8,3699378
762,2,4,28,0,8,4400618
1123,1,2,10,1,7,3827038
1516,2,4,19,0,7,4315018
4143,5,2,1,0,6,6089810
2549,3,3,14,1,6,4582393
4223,1,1,13,0,9,3903055
3608,2,3,19,2,6,4148413
4590,1,1,21,2,2,1658757
2556,1,4,10,2,2,2927757
3670,3,3,26,2,5,3705203
2182,5,2,2,1,4,4648356
2755,1,1,16,1,2,905167
1654,2,1,29,1,3,1749949
4999,4,3,11,2,7,5776378
3691,1,4,23,2,8,4795018
2196,1,3,27,0,6,2678414
4491,3,4,28,0,5,3875317
2148,5,4,20,2,1,3541914
1945,4,1,14,2,8,5728619
4699,2,3,15,2,3,3577640
4423,4,3,4,2,6,5670304
753,2,4,26,0,3,1936543
3683,5,3,19,2,7,6270703
3057,2,2,5,0,7,4340693
598,3,2,18,2,9,5234761
2700,3,3,24,2,5,4192613
3461,3,3,4,2,8,5749838
4933,3,4,2,0,10,6745869
4277,4,2,26,0,10,6118023
3369,5,2,0,1,8,7129264
3734,2,1,25,2,1,1768914
4291,2,4,27,1,5,3580613
1456,3,1,5,1,3,3164290
4567,3,2,14,0,1,2326122
660,1,4,1,0,4,3068217
4993,5,3,28,1,8,5914154
1800,4,4,2,2,3,5357768
4487,2,3,16,0,10,5591331
2027,1,3,24,2,2,1934747
1718,1,4,23,2,9,4725324
4996,2,3,11,1,10,6353334
3604,4,1,17,1,5,3610845
3235,1,2,14,1,7,3754182
1454,1,3,11,1,2,1965896
3946,5,1,15,0,9,5896666
1545,4,3,26,0,9,5161491
2193,1,2,7,1,4,2523454
3936,4,1,27,0,4,3403592
1062,2,2,13,1,6,3293659
2985,3,2,24,2,10,5498954
3854,1,1,16,2,10,5201054
725,5,1,28,2,10,5967595
1459,2,1,20,1,6,2710645
3567,4,4,7,2,1,4357423
1315,2,1,14,0,9,4170029
3620,1,1,26,2,2,1192916
516,4,1,13,2,5,4346956
1743,3,1,17,2,9,5628539
2705,2,3,19,0,4,2799471
3024,1,4,6,1,3,3230640
1569,5,2,2,0,7,6324149
3944,4,1,28,1,6,4440200
3065,2,3,11,1,8,5463943
1560,2,3,20,2,3,2325088
2827,3,3,23,1,5,3366415
3920,3,2,27,0,10,5308995
801,5,1,25,0,4,3054997
4776,5,4,2,1,4,6387754
1106,1,4,19,2,4,2477748
